Page,Country,Pageviews,Unique Pageviews,Avg. Time on Page
/spark_session.html,United States,2584,2443,0:04:25
/spark_lr.html,United States,2004,1846,0:04:40
/,United States,1748,1516,0:00:47
/spark_rdd.html,India,1723,1563,0:06:01
/spark_rdd.html,United States,1542,1398,0:04:16
/spark_session.html,India,1480,1401,0:04:23
/spark_lr.html,India,1216,1099,0:05:30
/flink_eventtime.html,United States,1054,937,0:05:42
/realtime-storm-kafka3.html,India,958,827,0:03:54
/hello-kafka-streams.html,United States,885,789,0:02:45
/realtime-storm-kafka2.html,India,868,722,0:03:37
/spark-scala.html,United States,825,774,0:03:16
/spark_rdd_part2.html,India,791,715,0:04:32
/realtime-storm-kafka2.html,United States,766,594,0:02:29
/realtime-storm-kafka3.html,United States,754,624,0:03:08
/flink_streaming.html,United States,718,658,0:03:16
/spark_rdd_part2.html,United States,703,620,0:03:26
/,India,702,531,0:00:40
/realtime-storm-kafka1.html,India,687,577,0:04:01
/spark-scala.html,India,671,623,0:06:43
/kafka-streams-part2.html,United States,645,535,0:01:53
/realtime-storm-kafka1.html,United States,614,512,0:02:50
/search.html?query=spark,India,577,425,0:00:31
/flink_trigger_evictor.html,United States,501,437,0:03:21
/search.html?query=spark,United States,461,321,0:00:32
/flink_eventtime.html,India,448,401,0:06:13
/search.html?query=flink,United States,434,317,0:00:29
/hello-kafka-streams.html,India,415,375,0:03:57
/flink_streaming.html,India,325,305,0:03:45
